Date,Close,High,Low,Open,Volume,Price_Range
2020-01-02,72.46826171875,72.52858156247073,71.22325926076245,71.4765996590847,135480400,1.3053223017082871
2020-01-03,71.76372528076172,72.52375386627762,71.53933722124737,71.69616734789946,146322800,0.984416645030251
2020-01-06,72.33556365966797,72.37416924858576,70.63454677653742,70.88547942287144,118387200,1.7396224720483389
2020-01-07,71.99536895751953,72.60097528872254,71.77580380389517,72.34521969510813,108872000,0.825171484827365
2020-01-08,73.15351104736328,73.4551103351791,71.69859637747034,71.69859637747034,132079200,1.756513957708762
2020-01-09,74.70734405517578,74.90036463569696,73.87975745537804,74.13068273740295,170108400,1.020607180318919
2020-01-10,74.87623596191406,75.4408362602049,74.37437802964394,74.94138611501243,140644800,1.0664582305609684
2020-01-13,76.47590637207031,76.50245093143005,75.07407383392189,75.1923057311866,121532000,1.4283770975081609
2020-01-14,75.44325256347656,76.62311254429632,75.32020505767588,76.41320061231343,161954400,1.302907486620441
2020-01-15,75.11991882324219,76.12364189473249,74.6880266854858,75.2429736592525,121923600,1.4356152092466914
2020-01-16,76.0609130859375,76.17190690767254,75.30088447470833,75.66280356227105,108829200,0.8710224329642102
2020-01-17,76.9029769897461,76.90538477645106,76.00300228022495,76.30942443229468,137816400,0.9023824962261102
2020-01-21,76.3818359375,76.97296616185518,76.24430488618641,76.53142801579997,110843200,0.7286612756687703
2020-01-22,76.65444946289062,77.20697385138125,76.56034698568028,76.86676909750412,101832400,0.6466268657009664
2020-01-23,77.02361297607422,77.1032319252794,76.15982874124028,76.70753760258107,104472000,0.943403184039127
2020-01-24,76.80162048339844,78.01284003043101,76.61100775709045,77.26970295766732,146537600,1.4018322733405597
2020-01-27,74.54326629638672,75.22366854186772,73.56125746709372,74.81108286986905,161940000,1.662411074773999
2020-01-28,76.65204620361328,76.82335250031947,75.32500962430629,75.42393505290065,162234000,1.498342876013183
2020-01-29,78.25655364990234,79.103446634538,77.54236874294361,78.28309821074268,216229200,1.561077891594394
2020-01-30,78.14314270019531,78.196224452265,76.90779359376785,77.33968569636842,126743200,1.2884308584971507
2020-01-31,74.67838287353516,77.85602816826189,74.38402173692818,77.43378925544725,199588400,3.4720064313337105
2020-02-03,74.4732894897461,75.63866557981345,72.91944979414838,73.42130763220082,173788400,2.719215785665071
2020-02-04,76.93192291259766,77.1225356625265,75.67244439973094,76.07779194419663,136616400,1.450091262795567
2020-02-05,77.55924987792969,78.35788393608293,76.95605150390088,78.05869253554688,118826800,1.4018324321820472
2020-02-06,78.46646881103516,78.46888396119307,77.27214024163042,77.82949504667184,105425600,1.1967437195626474
2020-02-07,77.3998794555664,78.21491934817361,76.90892029107607,77.96581213428415,117684000,1.3059990570975373
2020-02-10,77.76753234863281,77.76753234863281,75.90527578557558,75.98508372340018,109348800,1.8622565630572296
2020-02-11,77.29832458496094,78.33587187126635,77.08065923180118,78.26331921379253,94323200,1.2552126394651708
2020-02-12,79.13400268554688,79.13883707002908,77.748187624839,77.748187624839,113730400,1.3906494451900784
2020-02-13,78.57047271728516,78.89697445434517,78.20286026576835,78.4060150979807,94747600,0.694114188576819
2020-02-14,78.58981323242188,78.83892050632156,78.08192253766144,78.53901899642953,80113600,0.7569979686601158
2020-02-18,77.15079498291016,77.33218399932765,76.08906106405882,76.27045008047632,152531200,1.243122935268829
2020-02-19,78.26815795898438,78.49792035501915,77.39265473323287,77.39265473323287,93984000,1.1052656217862733
2020-02-20,77.4651870727539,78.51724467318775,76.95971731481961,78.0287063254119,100566000,1.5575273583681337
2020-02-21,75.7117691040039,77.50147989029539,75.09504942814512,77.05888657687778,129554000,2.4064304621502686
2020-02-24,72.11542510986328,73.56653705998549,69.95085421270655,71.89292541072396,222195200,3.615682847278947
2020-02-25,69.67272186279297,73.16748626275555,69.20111488480276,72.7853633450679,230673600,3.9663713779527825
2020-02-26,70.77799224853516,72.04288097148186,69.29060380017634,69.29785906555418,198054800,2.752277171305522
2020-02-27,66.15135192871094,69.16966734254164,66.01591540828939,67.98459409848462,320605600,3.1537519342522558
2020-02-28,66.1126480102539,67.33400483239866,62.00358558614566,62.2188373725417,426510000,5.330419246253001
2020-03-02,72.2677993774414,72.90387135222704,67.16714131154524,68.26998589980724,341397200,5.736730040681806
2020-03-03,69.97261047363281,73.52299545653904,69.12128685520182,73.44318755767915,319475600,4.401708601337219
2020-03-04,73.21825408935547,73.37787725573932,70.89406048440438,71.69458981682803,219178400,2.4838167713349435
2020-03-05,70.8432846069336,72.44675702043206,70.47808575850526,71.47209384482164,187572800,1.9686712619268008
2020-03-06,69.90250396728516,70.33542124210555,68.01606076088595,68.20228419897296,226176800,2.3193604812196043
2020-03-09,64.37374877929688,67.25662042749718,63.6070747073531,63.78846370366684,286744800,3.649545720144083
2020-03-10,69.01004028320312,69.27607892653965,65.1476640243261,67.02685855623419,285290000,4.1284149022135495
2020-03-11,66.61331176757812,68.01363727531553,65.74989813353481,67.08734712395831,255598800,2.263739141780718
2020-03-12,60.0349235534668,65.30004285714023,59.9792986243362,61.8996041788163,418474000,5.320744232804024
2020-03-13,67.22760772705078,67.69922212839465,61.17646902441562,64.06418648557232,370732000,6.522753103979035
