Date,Close,High,Low,Open,Volume,Price_Range,MA_7,MA_21,MA_50,Daily_Return,Volatility,RSI
2020-03-13,67.22760772705078,67.69922212839465,61.17646902441562,64.06418648557232,370732000,6.522753103979035,66.85791724068778,71.14525804065522,73.87037956237793,11.98083340137548,5.389873723758543,45.068578940408294
2020-03-16,58.5789794921875,62.65901820555978,58.044484903274174,58.51609560503949,322423600,4.614533302285608,65.1058736528669,70.19328217279343,73.59259391784668,-12.864697298135862,6.014523772999274,40.05292187411925
2020-03-17,61.15470886230469,62.30350239725674,57.65752663261629,59.86079893237385,324056000,4.645975764640454,63.8561886378697,69.36303910754975,73.38041358947754,4.397019873759844,6.134104971740331,41.593077779075244
2020-03-18,59.65763092041016,60.46299850331859,57.34794363950967,57.98885363786599,300233600,3.115054863808915,63.1824575151716,68.53003129504975,73.12685493469239,-2.448017445827977,6.139720944559682,43.99893310606021
2020-03-19,59.20053482055664,61.14986143425335,58.67571640074359,59.83176871542281,271857200,2.474145033509764,61.78109959193638,67.62204924083892,72.87095825195313,-0.7661988798437824,6.113864022309719,43.66129997207706
2020-03-20,55.442161560058594,60.90559811822868,55.14226370959631,59.78098394677199,401693200,5.763334408632375,60.18522099086216,66.57333374023438,72.51673126220703,-6.348546126973497,6.218229281696381,33.860712851874396
2020-03-23,54.26432800292969,55.26317786918558,51.42015002405914,55.16160047962253,336752800,3.843027845126443,59.36085019792829,65.5520270211356,72.1078709411621,-2.1244365731538095,6.217333185217333,34.60243418599492
2020-03-24,59.70841979980469,59.90431931903992,56.66592135701882,57.16413586035,287531200,3.238397962021104,58.28668049403599,64.96121724446614,71.80451461791992,10.032542550938949,6.640263682445127,37.30455990561519
2020-03-25,59.37950897216797,62.45828415286656,59.08444921259577,60.644394003218935,303602000,3.3738349402707897,58.40104184831892,64.47106424967448,71.46258666992188,-0.5508617188991427,6.61134239004835,38.79645347036448
2020-03-26,62.50423049926758,62.56227261652978,59.582657941818766,59.62135514690596,252087200,2.979614674711016,58.59383065359933,64.07707559494744,71.20380622863769,5.262289266427267,6.718534900751653,43.06567584036016
2020-03-27,59.91642379760742,61.882678310331166,59.74954530489737,61.1281011506361,204216800,2.1331330054337982,58.63080106462751,63.780174255371094,70.899736328125,-4.140210480137785,6.6283877029645595,45.578433265338205
2020-03-30,61.62631988525391,61.79803646344427,60.31789941723486,60.64198396689207,167976400,1.480137046209407,58.97734178815569,63.56653958275204,70.61104446411133,2.8538019782728963,6.663213393506072,42.22405573360383
2020-03-31,61.50054931640625,63.48373516730324,60.94670980739506,61.81737856650545,197002000,2.537025359908178,59.842825753348215,63.05381338936942,70.30299591064453,-0.2040858014592528,6.303537926949049,44.34516611865617
2020-04-01,58.26456832885742,60.15343192722889,57.83407204839957,59.61652017243426,176218400,2.3193598788293173,60.414288657052175,62.496287572951545,69.94065055847167,-5.2617107058677615,6.362715279330045,47.8856179485745
2020-04-02,59.23680877685547,59.290016512254034,57.29473750591379,58.12670897901646,165934000,1.9952790063402477,60.34691565377371,61.830504462832494,69.59229774475098,1.6686649809374954,6.271060796815986,38.790871308367755
2020-04-03,58.385498046875,59.423041606914005,57.795378517377415,58.721672212892855,129880000,1.6276630895365898,60.20491409301758,61.237276531401136,69.21953544616699,-1.4371313167583888,6.248446390456694,49.652597124172694
