,RMSE,MAE,MAPE,Accuracy
ARIMA,33.80467976236797,28.00635283402769,12.7478408931193,87.2521591068807
SARIMA,19.84230423506084,17.48491655384604,8.350703844724624,91.64929615527538
LSTM,7.44,5.99,2.81,97.19
